166,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
0,140,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,8,1,1,1,1,0,0,1,0,0,
0,0,142,0,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,
0,1,0,135,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,0,0,0,0,1,0,0,0,
0,1,1,0,157,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,
0,0,0,2,0,128,1,0,0,1,0,0,0,0,0,6,1,0,0,5,0,0,0,0,0,0,0,
0,0,1,1,3,0,146,1,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,
0,0,0,3,0,0,1,110,0,0,8,1,0,0,0,0,0,7,0,0,1,1,1,0,1,0,0,
0,0,0,0,0,0,0,0,135,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,
0,0,0,2,0,0,0,0,3,137,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,0,1,0,1,0,0,0,0,141,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,
0,0,0,0,3,0,1,0,0,0,0,156,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,
0,0,0,0,0,0,1,0,0,0,0,0,139,0,0,0,0,0,0,0,0,1,7,0,0,0,0,
0,0,0,1,0,0,1,0,0,0,0,0,0,142,1,0,0,2,0,0,2,2,2,0,0,0,0,
0,0,4,4,0,0,3,0,0,1,0,0,0,1,131,0,2,1,0,0,0,0,0,0,0,0,0,
0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,125,2,0,3,0,0,0,0,0,1,0,0,
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,155,0,0,0,0,0,0,0,0,0,0,
0,1,0,1,0,0,1,0,0,0,4,4,0,0,0,1,1,148,1,0,0,0,0,0,0,0,0,
2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,137,0,0,0,0,3,0,2,0,
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,173,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,151,1,1,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,142,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,143,0,0,0,0,
0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,0,151,1,1,0,
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,144,0,0,
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,157,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
